,title,venue,date,hosting_university,regulator_supervisor,speaker_1,speaker_2,speaker_3,number_participants,topics_1,topics_2,topics_3,results_1,results_2,results_3,new_insights_main_take_aways,remarks,timestamp
43,Fintech 2020 – Risk Management – Irish Workshop,"UCD Michael Smurfit Graduate School of Business, Dublin",2019-06-14,University College Dublin,Irish Central Bank,Andreas Hoepner,Valerio Poti,Theodor Cojoianu,9,Credit Risk in P2P Lending,Fintech Innovation and the EU,#NV,Education of Irish community of P2P credit risk and fintech risk management,Discussion on fintech innovation,#NV,"- Fintech risk management difficult to operationalise given lack of data science skillset at the executive level
- P2P Credit risk in Ireland at the very incipient stages, not as widespread as UK",#NV,1562976691
44,Suptech Workshop II BDA Switzerland ,Swiss Financial Market Supervision Authority ,2019-05-24,ZHAW,Swiss Financial Market Supervision Authority ,Joerg Osterrieder,Jan-Alexander Posth,Harald Bärtschi,6,The FinTech-ho2020 project,Big data analytics and applications in finance ,Risks associated with fast adoption of BDA in finance,Interest in the topic,Mostly interested in the legal perspective ,Scalability of risk management tools,#NV,#NV,1563882463
45,Suptech Workshop III BDA Switzerland ,"ZHAW - Technikumstrasse 9, 8401 Winterthur",2019-07-17,ZHAW,SIF/FINMA,"Branka Hadji Misheva, ZHAW","Joerg Osterrieder, ZHAW","Wolfgang Breymann, ZHAW",20,The dynamics of digital disruption in financial services; Growing power of FinTech ecosystems and their impact on the industry; Regulatory challenges,FinTechs’ perspective concerning the current and future regulatory burden they might face as well as the expected impact it might have on their business model,Automated risk management solutions that support regulatory compliance of financial companies and increase the efficiency of supervisory activities,"Fintechs have the potential to significantly disrupt the existing industry structures; blur industry boundaries; facilitate strategic disintermediation, and massively change how companies create and deliver products or services.   ",There exist significant technological gaps between regulators and fintechs which in turn might impact the extent to which novel business models actually disrupt the finance industry. ,Regulatory issues can be considered a key reason why fintechs are increasingly acting as collaborators of traditional financial players rather than significantly disrupting the industry.,"-	In the context of P2P platforms there is a great need for ensuring customer protection as due to differences in risk ownership compared to the traditional banking model, these online markets are not incentivized to have the most accurate scoring models. The network-based approaches propose by the FinTech consortium were considered very useful by the audience. A representative from the fintech industry clearly stated that a major impediment for P2P growth in Switzerland is due to the lack of trust that is associated with these new players. A novel methodological approach that can improve the ability of platforms to successfully discriminate between different risk classes can be a significant step forward to ensuring higher trust. 
-	Regulatory issues can be considered a main barrier for FinTech growth and scalability across Europe. In this context, the term “regulatory issues” includes both the existence of too strict regulation as well as the lack thereof.  Specifically, a representative from a digital aggregator operating in Switzerland stressed that there is a massive need for universal standard for data in the financial service industry as otherwise, it is very difficult for them to develop new technology for financial advisers. 
-	Strong need for uniformed data-driven fintech risk management tools; Strong need for joint training and discussions between academics/regulators and fintechs
","This feedback report covers the main topics, results and insights collected from all roundtables organized between 17th June and 8th July 2019. Consequently below we present the full list of speakers:

- Branka Hadji Misheva, ZHAW;
- Prof. Dr. Joerg Osterrieder, ZHAW;
- Prof. Dr. Peter Schwendner, ZHAW;
- Prof. Dr. Harald Bärtschi, ZHAW;
- Prof. Dr. Wolfgang Breymann, ZHAW
- Francis Gross, ECB
- Dr. Willi Brammertz, Ariadne Business Analytics
- Nils Bundi, atpar AG
- Andras Miklos, Swiss Finance + Technology Association 
- Sandro Schmid, AAAccell
- Martin Stadler, Altoo",1563889938
46,"RegTech Workshop II Big Data Analytics, P2P Lending Platforms and Credit Risk","Techquartier, Platz der Einheit 2, 60327 Frankfurt am Main, Germany",2019-06-28,FIRAMIS,-,"Dr. Jochen Papenbrock, Dr. Dimitri Marinelli","Branka Hadji Misheva, Dr. Jan-Alexander Posth, Thomas Leach, Prof. Daniel Felix Ahelegbey,","Gilles Bouvier (ECB), Julian Arevalo (EIOPA), Dr. Michael Jünemann, Carsten Zecher, Thorsten Seeger",71,Perspective of a European regulator / supervisor on modern Big Data and AI approaches,Credit risk in banking,Explainable AI,"human-centric, explainable AI will be very important during the next years.","fairness, accountability, transparency (fat)",Network analysis.,Non-consistency of data and models accross European memberstates and time is a hurdle for FinTech scaling in Europe.,ECB and EIOPA are very interested in further discussing the topics of the FIN-TECH project.,1567170719
47,1st Validation and Research Workshop on Big Data Analytics,ZHAW,2019-09-03,ZHAW,"ECB, BIS, FSB, Asian development bank","Dr. Bihong Huang, Asian Development Bank","Dr. Thomas Gramespacher, Dr. Jan-Alexander Posth, ZHAW","Dr. Daniel Traian Pele, The Bucharest University of Economic Studies",90,Fintech Disruption,Regulatory Perspective on Fintech Disruption,Academic Perspective on Fintech Disruption ,Practitioner's point of view: Common challenges of Fintech start-ups that prevent the creation of a sustainable Fintech ecosystem,Regulators point of view concerning big data and advanced analytics platforms; Advanced methodologies for predicting financial distress and building early-warning systems.,Academic session: Presentation of the main use cases collected within the big data WP and open discussion concerning the methodologies with the project's partners and advisors. ,"- Great knowledge and technology gap between regulators and fintechs particularly in terms of the innovative technologies that are applied in the context of financial intermediation. 
- Great interest in novel methodologies that can address some of the main risks that emerge from the application of innovative technologies in finance - particularly in the context of network models which can be very useful in improving the predictive power of credit risk estimations.
",#NV,1570006568
48,"SUPTECH II WORKSHOP AI, Market Risk and Robo Advisory",Malta,2019-11-20,University of Pavia,MALTA FINANCIAL SERVICES AUTHORITY,Paolo Giudici,Paolo Pagnottoni,#NV,22,"AI, Market Risk and Robo Advisory",Convergence and Divergence in European Bond Correlations,#NV,"The reached level of engagement was very high, considering that the audience was coming form academia and fintech research area",#NV,#NV,"Practical ideas of collaborations on stablecoins and money laundering trends and market abuse patterns.


 ","Positive feedback form the audience, with comments and active interest on the use cases presented. Willingness from the participants to participate in other SUpTech activities within the project and discussing on the organization of the third part activities. ",1574420650
49,Special Workshop for Bankers & Insurers I,Representation of the state of Hessen to the EU,2019-11-26,Firamis GmbH,Banks and Insurers,"Gilles Bouvier, ECB","Andreas Papaetis, EBA","Sebastian de Brouwer, EBF",34,Perspective of international regulators on BDA and AI,Perspective of bankers on BDA and AI,Concept of XAI,BDA and AI are still in an early stage regarding the usage in banks,"The usage of BDA and AI has to be governed, also by the management. ",XAI is an interesting concept,"Bouvier (ECB) sees the usage of AI as a chance to create non-biased decisions.
Bouvier announces the assessment of AI-models used by banks.
""Neo-banks"" use BDA and AI more intense than the incumbents.
Bouvier: Alternative datasets are used less, due to legal risks.
Papaetis: Skills and knowledge regarding the usage of BDA and AI is a topic.
Papaetis' final conclusion: will we need to develop AI/ML policies or regulatory frameworks for the application of AI/ML?
EBF: European financial institutions will have to catch up with their competitors from the USA and China.
EBF: AI is mainly used regarding chat boxes, fraud detection and AML",#NV,1574958052
50,RegTech workshop I - Data Science and AI for Credit Risk Management:  the P2P Lending risk management,"Fintech District, Milan",2019-03-29,modefinance,"CONSOB, Giorgio Gasparri","Valentino Pediroda, CEO modefinance","Branka Hadji Misheva, zhaw Zurich University of Applied Sciences","Andrea Sorrentino, Head of Fintech modefinance",50,Data science and AI for credit risk management,Peer to Peer lending risk management,Credit scoring model development,Importance of dataset & dataset analysis,Exploit the topological information embedded into similarity networks,Regulation of applied FinTech & RegTech ecosystem,#NV,#NV,1575890784
51,Big Data Analytics,Copenhagen,2019-08-26,Firamis,Danish FSA,Peter Schwendner,Jeremy Hu,Jochen Papenbrock,40,Scagnostics,Network Analysis,Concept of explainable AI,For the supervision of AI-models in banks the DFSA is looking for practical check-lists,The DFSA needs non-technical (intuitive) access to the risk and benefits of AI-models in banks,DFSA shows big interests in the concept of explainable AI,Firamis experienced big interest of non-technical DFSA-staff in the content of the FIN-TECH project. The majority of the participants were not trained to understand algorithms/formulas.,The DFSA suggested to divide the following SupTech-workshops in technical and non-technical sessions (addressing different participants),1576166625
52,BDA suptech workshop for Polish Financial Supervision Authority,Polish Financial Supervision Authority,2019-08-19,University of Warsaw,Polish Financial Supervision Authority,Piotr Wójcik,#NV,#NV,15,Applications of Big Data Analysis in financial sector,Statistical models and machine learning tools used for credit risk assessment,Case studies based on the research of consortium partners,#NV,#NV,#NV,All the employees of the Fintech department of Polish Financial Supervision Authority are lawyers and did not have any previous knowledge of statistics. The training had to be conducted on a relatively general level.,Next parts of the training (general materials) should put more attentionto the regulator's (legal) perspective of the discussed tools.,1577052835
53,SupTech AI III Italy,Consob - Rome&Milan (connection with webconference),2019-11-21,Polimi,Consob,Marazzina Daniele,Azzone Michele ,#NV,15,Introduction to Machine Learning,Supervised Learning,#NV,#NV,#NV,#NV,#NV,#NV,1584781154
54,SupTech AI I Italy,Consob - Rome&Milan (connection with webconference),2019-10-31,Polimi,Consob,Marazzina Daniele,Azzone Michele,#NV,25,Introduction to Machine Learning,Supervised Learning,#NV,create a unified knowledge,#NV,#NV,#NV,#NV,1584781260
55,SupTech AI II Italy,Consob - Rome&Milan (connection with webconference),2019-11-07,Polimi,Consob,Marazzina Daniele,Azzone Michele ,#NV,25,Deep Learning,Reinforcement Learning,#NV,Creating a unified knowledge,#NV,#NV,#NV,#NV,1584781300
56,SupTech AI III Italy,Consob - Rome&Milan (connection with webconference),2019-11-21,Polimi,Consob,Marazzina Daniele,Azzone Michele,#NV,20,Reinforcement learning,Use Case VII - Sovereign Risk Zones in Europe During and After the Debt Crisis,#NV,#NV,#NV,#NV,#NV,#NV,1584781352
57,SupTech AI IV Italy,Consob - Rome&Milan (connection with webconference),2019-12-12,Polimi,Consob,Marazzina Daniele,Azzone Michele,#NV,14,Use case IX - Learning Clique Forests,Use case V - Network models to improve robot advisory-portfolio management,#NV,#NV,#NV,#NV,#NV,#NV,1584781413
58,SupTech AI I Latvia,Riga,2020-02-06,Kaunas University of Technology,FINANŠU UN KAPITĀLA TIRGUS KOMISIJA,Audrius Kabašinskas,Kristina Šutienė,Kestutis Luksys,13,Artificial Intelligence,Market Risk assessment,"Network models, matrix filtering techniques  and machine learning",General understanding about AI and robo-advisory was obtained,Deep understanding about market risk assessment was obtained,Introduction to network models and machine learning were presented ,"Regulator has theoretical knowledge in AI, network models and machine learning, however, it is not used. Market risk assessment is typical in daily practice, however, it is limited to models that are in Basel framework and documented in national law.","Regulator need practical implementation and explanation how to use modern models, how to update law and software used.",1584966024
59,SupTech AI I Lithuania,Vilnius,2020-02-20,Kaunas University of Technology,Bank of Lithuania,Kazimieras Bagdonas,Audrius Kabašinskas,Kristina Šutienė,10,Artificial Intelligence,Market Risk assessment,"Network models, matrix filtering techniques  and machine learning",General understanding about AI and robo-advisory was obtained,Deep understanding about market risk assessment was obtained,Introduction to network models and machine learning were presented ,"Regulator has knowledge in AI, network models and machine learning, however, it is not widely used. Market risk assessment is typical in daily practice, however, it is limited to models that are in Basel framework and documented in national law.","Regulator need practical implementation and explanation how to use modern models, how to update law and software used.",1584966129
60,SupTech AI I Estonia,Tallinn,2020-01-30,Kaunas University of Technology,Finantsinspektsioon,Kazimieras Bagdonas,Audrius Kabašinskas,Kristina Šutienė,10,Artificial Intelligence,Market Risk assessment,"Network models, matrix filtering techniques  and machine learning",General understanding about AI and robo-advisory was obtained,Deep understanding about market risk assessment was obtained,Introduction to network models and machine learning were presented ,"Regulator has knowledge in AI, network models and machine learning, however, it is not widely used. Market risk assessment is typical in daily practice, however, it is limited to models that are in Basel framework and documented in national law.","Regulator need practical implementation and explanation how to use modern models, how to update law and software used.",1584966214
61,RegTech workshop I Big Data & Analytics,Milano,2019-03-29,Pavia,"Banca Italia, Consob",Alessandra Tanda,Valentino Pediroda,Branka Hadji Misheva,50,credit scoring,Big data,Artificial Intelligence,Understand the different technologies in Credit Scoring,#NV,#NV,#NV,#NV,1584969960
62,"SUPTECH WORKSHOP II. AI, Robo Advisory and Market Risk","National Securities Market Commission (CMNV), C/ Edison, 28006 Madrid (Spain)",2019-12-02,Complutense University of Madrid,National Securities Market Commission (CMNV),Javier Arroyo Gallardo,Miller Janny Ariza Garzón,#NV,17,Measurement of sovereign risk ,Measurement and dynamics of sovereign risk contagion. Dependency profiles.,"Determinants, dynamics and management of sovereign risk (contagion, political and macroeconomic factors)","The regulator agreed with the use of bond spreads at 10yr or bond CDS spreads at 5yr versus bund, as indicators of sovereign risk and confidence. For the latter, they suggest to interpret them with caution as they postulate a deterioration in their liquidity. However, according to the authors, liquidity is not an issue, since the data correspond to quotes generated by bond market makers (i.e., banks that continuously quote these bonds). Therefore, the correlations that are extracted with the model reflect the parameters of the factor model that these banks use for quoting. In this sense, they show the ""correlation sentiment"", i.e. the market makers' view of the correlations. ","The regulator were satisfied on how ""contagion"" is measured, considering it to be novel and elegant proposals, either with correlation influence in the first case, or through Kendall tau, copulas, and Bayesian statistics in the second. They carry out similar exercises, but mostly with the well-known correlation coefficient. They value positively the fact that the time structure has been incorporated into the measurement of ""contagion"" or dependence on the indicators of sovereign risk through: Analyzing the dynamics of measurement at various moments in time, incorporating stationary bootstrap methodologies and almost inferential elements, in the first case.  And through a more robust estimation method that recognizes the structural change of the probabilistic behaviour of the variables and the underlying model, obtaining indicators of contagion for each temporal instant, in the second case. Concerning the concept of contagion, they believe that there is a lack of clarity about its meaning. It is used as a synonym of terms such as spillover, correlation, convergence, among others. Thus, it demands a more detailed definition, establishing common elements, differences, limitations, and even conceptualizations that contemplate temporary causality. In the two cases analyzed, they suggest that the number of lags used is very short. In the first case, the correlation is instantaneous. In the second case, a delay is observed, so they suggest the use of longer lags since in the face of many phenomena and variables, the effects may take longer to manifest.","Regarding the analysis of the results of case 1, the difficulty of being able to use this type of analysis for preventive purposes is mentioned by the regulators. Each political event is different, and it is difficult to predict its impact. Nevertheless, they consider useful that this tool can validate, describe and explain the dynamics of risk indicators empirically in the face of particular political phenomena.  According to the authors, in general, the proposal presents predictive capacity, since negative correlations are a warning signal, showing, for example, that market makers prepare the settings of their quotation models expecting a worsening of the sovereign credit of the European periphery. The networks, therefore, show the risk perception of the most active market participants (the banks offering the tightest supply and demand spreads). Moreover, as investors act slower than market makers, correlation networks can have some predictive power. The second case is considered more useful by the regulators; they like to have a model that allows them to identify the paths and profiles that establish risk zones based on measures of contagion and some macroeconomic indicators. They point out that, although it is intuitive and almost natural to recognize the debt/GDP and the unemployment rate as determinants, they value having thresholds that determine changes in the state of risk levels over time.  The regulators support one of the conclusions of this second case. They consider that it is not surprising that markets will overreact to crises, which translates into almost instantaneous contagion, while macroeconomic factors take some time to deteriorate. The importance of each of these factors as determinants of risk indicators has differential lagging effects.","The regulators suggest complementing and comparing the analysis of the first case with the theory of econometric event analysis. And the second case with the theory of models of contagion.
In the first case, they consider that if the segmentation of historical political events is possible, which can subsequently be associated with differential dependency structures, then it would be possible to develop tools that would help to manage sovereign risk.
For events that correspond to countries' positions that are far from orthodox, affecting the convergence criteria and weakening the EU community, it is challenging to establish preventive measures. Although an increase in spreads is expected every time events of this nature occur, the estimate of the impact generated is not trivial. Perhaps, and this should be measured, the aggregation of this type of event, controlled by another series of variables, makes it possible to generate dependency and risk profiles, and why not, impact estimates on the indicators of sovereign risk.
In turn, they consider that there is another series of clearly determining events that have not been analyzed in detail. Such is the case, for example, of the ""Whatever it takes"" statement issued by the president of the European Central Bank seven years ago, whose position clearly defines a stand as a community that defends and consolidates the Euro as one of the relevant economic forces of the planet. Such statements could be gathered and studied to assess the impact on the bond market, its derivatives and risk indicators. 
The regulator has carried out exercises with macroeconomic indicators, obtaining similar dynamics in the segmentation; countries of the core, strong financially and economically, and countries of the periphery, dependent in lag of the countries of the centre and with negative contagion in the short term in front of the events of the countries of the same segment. In this regard, they suggest combining dependency measures and macroeconomic indicators to assess whether segmentations are generated that are not obtained by analyzing each of these components individually.
In the second case, it is recognized that a higher proportion of the macroeconomic policy mix can be used to improve investor confidence, improve indicators, and achieve development and financial stability. The contagion and dependence structure of other markets play an essential role, but a sustainable structural plan mitigates their impact.
They also highlight the weakness of peripheral countries in technological development and innovation indicators (R+D+I), reducing the set of economic alternatives and strategies that promote sustainability, competition and development in these countries, and they, therefore, consider that this component should be taken into account in risk models.
","It is important to note that in the regulators there seems to be a reasonable quantitative level, without knowing in detail the methodologies, they understand in general their contributions and results, allowing them to compare with what they do in their daily work, make criticisms of what is presented and propose new elements for future research.",1585068929
63,SUPTECH II WORKSHOP II. Contagion and financial stability,"Secretaría General del Tesoro y Financiación Internacional, Paseo del Prado 6 - 28014 Madrid (Spain)",2020-02-18,Complutense University of Madrid,Tesoro Público-Ministerio de Economía y Empresa.,Javier Arroyo Gallardo,Miller Janny Ariza Garzón,#NV,2,Measurement of sovereign risk ,Measurement and dynamics of sovereign risk contagion. Dependency profiles.,"Determinants, dynamics and management of sovereign risk (contagion, political and macroeconomic factors)","In the first case, the participants appreciate having instruments that allow them to understand the transmission of effects by different political phenomena, as well as making markets segments for varying periods. However, they suggest using models that include control variables around the differences associated with markets. These variables recognize their strengths and limitations to have a more robust estimation of contagion.","In the second case, they value very highly the model because defines risk routes and segments, including dynamic estimates of contagion.",#NV,"Concerning the first case of use, they suggest analyzing other time frequencies and the dynamics of countries, particularly Spain, in the face of other different political and economic events. They also consider interesting to evaluate not only the impact of each political event but also the length of its effects, to be able to determine whether they generate transitory or permanent effects, and how their dependency structure reflects these.
For the second case, they suggest carrying out the analysis through country models since in some cases, the aggregations do not allow understanding the particular situation of each market. In turn, they suggest updating the study to identify the effects of policies, some of which have even taken longer to implement, again, controlling by the different estimates of contagion.
Likewise, they suggest a comparison not only of two moments, crisis and post-crisis but also advise to include pre-crisis moment. They considered that by not covering this period, the effects associated with the policies of governments and the European Union might be overestimated.
","The participants clarify that although the Tesoro Público, through the Subdirectorate General for Legislation on Credit Institutions, Banking and Payment Services and the Subdirectorate General for Legislation on the Securities Market and Financial Instruments, participates in the drafting of regulations affecting the financial sector, and also in the working groups that develop Community regulations, they are not directly regulators.
Through the General Secretariat of the Treasury and International Finance, it channels institutional relations with the main supervisory and regulatory bodies or bodies in which the State has a stake, in the field of the financial sector. 
On the other hand, as in the different sessions with the other institutions, the participants understand the methods and the results, allowing them to compare with what they do in their daily work, make criticisms of what is presented and propose new elements for future research.
",1585069202
64,SUPTECH I WORKSHOP III. Contagion and financial stability,"Secretaría General del Tesoro y Financiación Internacional, Paseo del Prado 6 - 28014 Madrid (Spain)",2020-01-20,Complutense University of Madrid,Tesoro Público-Ministerio de Economía y Empresa.,Javier Arroyo Gallardo,Miller Janny Ariza Garzón,#NV,4,Estimation of the risk of interbank contagion due to bankruptcy before and during the sovereign debt crisis. Data and quantitative methodology for the estimation of the risk of contagion.,Definition of the bankruptcy event. ,Practicality and other aspects.,"Data and quantitative methodology for the estimation of the risk of contagion.  The seminar participants:  Consider very interesting the use of Machine Learning tools and the use of other types of information (Big Data) for estimating interbank contagion.  Deem very appropriate the construction of a connectivity matrix approximating the exchange of credit between banks in the European Union through connectivity networks. Consider the use of spatial econometrics in the presentation and display of results to be appropriate, although not so novel. Highlight that the estimation of the connectivity matrix to be unsophisticated because it uses low granularity input data. This fact can lead to biased results in the evaluation of contagion, failure probability and the identification of its drivers or determinants.  Consider that the previous problem could be solved with data of higher quality. The consider that the BIS or the Banco de España may have data of higher quality and a greater level of detail, but assume that these data are private.  Consider it essential to present the units of the variables used, allowing them to understand the results better and gain confidence in the approaches taken. For example, the case of total assets which are expressed in logarithms, but the paper does not define what the unit of the variable is, which would allow them to infer which banks the default percentages presented correspond to. Wish to see general classification and inference statistics that complement the evaluation of the spatial econometric models. Only inferential statistics per variable are shown.  Consider that the analysis time window is short to evaluate the contagion effect. The period from 2008 to 2012 is the beginning and core of the crisis, and it is only after this period that new support agencies, policies, interventions and government aid begin to be defined (some of them are still currently under development). This aspect also affects the significance of contagion variables and macroeconomic fundamentals in the models. Believe that a cross-sectional analysis with only a year's lag in the variables can bias the analysis of contagion. The events associated with bankruptcy risk generate an ex-post impact of several periods. Therefore, they suggest to expand the number of lag periods used or to use models that collect these dynamics to improve the estimation of contagion. Suggest reviewing network analysis models based on the force of gravity. They consider that this is a methodology with elements in common with the one used in the case presented and that it could complement it theoretically and methodologically by also including spatial and connectivity components.","They consider relevant to expand its meaning. They agree that the legal status of bankruptcy insolvency, dissolution and liquidation are appropriate, but find that by not including bank rescue, the authors underestimate the default and, therefore, the estimate of the risk of contagion.  Although they recognize that aid, intervention and rescue policies in different countries were different, the help through these measures must be taken into account in the definition of default.  The institutions that are more susceptible to these measures can generate the most considerable contagion, and additionally, they present the most substantial difficulty in an intervention process. Related with this, they question the statistic on banking default presented in the paper for Spain. They consider that value overestimated the default if it only corresponds to the states or events legal of bankruptcy, of dissolution and that of liquidation.","They also comment that the effect of intervention and aid is different from that produced by an aggregate policy or reform, so they advise considering these differences in the models.","They think that the proposal valuable and consider the possibility that it could be used as an alternative for measuring contagion and estimating bank default. They agree with the results. For example, they agree with the fact that since the beginning of the crisis, macroeconomic variables became more relevant, due to interventions and reforms at European and national level. However, they suggest that new proposals should take into account what is described in points 1), 2) and 3) to have more robust, useful and usable estimates for regulators.

With the same purpose, they suggest that when updating the study in a longer window, also new policies and strategies associated with reducing the risk of bank failure should be taken into account. For example, ring-fencing, because its impact can be evaluated in combination with different conceptions of contagion and new measurement alternatives.
","Attendees demonstrate an excellent level of knowledge on quantitative analysis. Although they do not know in detail the methodologies presented, they generally understand their contributions and results. This allows them to compare with what they do in their daily work, make criticisms in a constructive manner, and propose new elements for future research.
Participants are interested in the feedback given by other European regulators and supervisors to the use cases. 
They suggest that it would be positive to involve and exchange experiences with the most technologically and financially developed banks and with actors that offer new financial products. The above is relevant for the efficient and socially sustainable development of the financial market. They consider that these entities have evolved more rapidly and adapted to market innovations. Thus, they are fundamental actors, demanders and promoters of regulatory and supervisory reforms.
",1585152311
65,Suptech_Workshop I_AI_Bucharest,"Bucharest University of Economic Studies, Calea Grivitei 2-2A",2020-02-19,Bucharest University of Economic Studies,Financial Supervision Authority (ASF),Vasile Alecsandru Strat & Pele Traian Daniel,Raluca Caplescu,Adrian Otoiu,12,Use case I - Network models to improve robot advisory portfolio management,Use Case II - Market structure discovery with clique forests,Use case III - Sovereign risk zones in Europe during and after the debt crisis,Network models and contagion models are very useful in assessing the risk,More focus on practical aspects,Exchange of ideas between participants from ASF and BNR,Members of supervision authorities would like more focus on aspects that would help them improve their activity. They would like some tips of where to look when assessing new business models proposed by Fintechs. They would enjoy receiving support for developing a collaboration with academia for this type of activities.,More regional or international collaboration would be a plus.,1585909287
66,Suptech_Workshop I_AI_Bucharest,"Bucharest University of Economic Studies, Calea Grivitei 2-2A",2020-02-13,Bucharest University of Economic Studies,Financial Supervision Authority (ASF),Vasile Alecsandru Strat,Cristian Toma ,Marius Popa,14,Artificial Inteligence,Artificial Inteligence in Finance,Explainable AI,The workshop helped the participants understand more the concept of AI,Participants got an understanding on where AI could be part of their activity,Exchange of ideas between participants from ASF and BNR,For the supervisors more details about the concept of AI and its applications would be needed. Instead of scientific concepts and models they would need a more practice-oriented approach.  ,-,1585909458
67,AI for risk management and supervision - I day,"Central Bank of Ireland, New Wapping Street North Wall Quay Dublin 1",2020-02-17,University College Dublin,Central Bank of Ireland,Professor Valerio Potì (UCD),Dr Alessia Paccagnini (UCD),"Dr Andrea Ugolini (Rio de Janeiro State University, Brazil) ",30,"Introduction, overview of the programme and its current stage, and overview of a case study from the previous phase of the project",Overview of the case studies from the current stage of the project,The impact of Twitter sentiment on renewable energy stocks,Network models can be usefully employed to identify and predict increasing systemic risk,"Discussed methodologies for achieving AI explain-ability, especially on limits of Shapely values",Evaluated method for extracting sentiment information from textual data using recent AI/ML algorithm,"Usefulness of extant methodologies for achieving AI explain-ability but also need for further research.
Need to connect research on xAI with research on causality in econometrics",#NV,1589733460
68,AI for risk management and supervision - II day,"Central Bank of Ireland, New Wapping Street North Wall Quay Dublin 1",2020-02-18,University College Dublin,Central Bank of Ireland,Professor Valerio Potì (UCD) and Yuting Chen (doctoral student),Dr Juan Carlos Arismendi Zambrano (NUIM),Trevor Fitzpatrick (Central Bank of Ireland),40,Federal Reserve Communications Sentiment's Impact on Target Rate Discovery,Bubbly Financial Stories and Systemic Risk,Explainable AI for banking and insurance supervision,Application of Bag of word and ML approaches to extract sentiment from textual corpora on central bank communication,"Methodologies (e.g., LDA) for identification of topics and narratives in textual corpora",Possibilities and limits for xAI in financial sector supervision,"(1) Topic and narratives identification requires different approach than sentiment identification, more difficult but also more powerful to predict structural breaks
(2) Static LDA can be used to estimate time-varying topic-intensities
(2) Causality identification methodologies from recent econometrics research (e.g., Athey and Inbens, Chernuzov, etc) more promising than Shapely value-based approach to achieve the kind of explain-ability needed for financial sector supervisory authorities (key intuition: central banks modify the environment with their actions, so need to understand causal mechanisms rather than environment-dependent Shapely values-based mappings).",#NV,1589734072
69,"Denmark, SUPTECH EVENT II, AI, Market Risk and Robo Advisory",Danish financial supervisory authority,2020-02-06,Firamis GmbH,Danish financial supervisory authority,Dr. Jochen Papenbrock,Prof. Wolfgang Härdle,Rafeal Reule and Dr. Hein (EY),21,AI/ML across banks in practice,Explainable AI,"CRM and FRM, network models in finance","highly practial presentation about AI in banks, how to monitor it and how to supervise","the potential and limits of explanation methodologies were discussed. This is omportant to know for everyday supervision of banks and what can be expected from banks in terms of responsible, trustworthy AI",Contagion risk monitors and financial risk meter were acknowledged as useful tools but were not so relevant for the daily work of the supervisor,"Audience very much liked the lively and hands on presentation by EY. It helped them a lot to understand the risk and limits of AI models and how to supervise them. The Firamis description of explanation technologies showed what banks can do to ope their black box models. Relevant check lists emerged from it for the daily supervision of banks. The audience was very satisfied by the interesting, hands-on and relevant content provided.","the session was 2 days: first day more broadly for a wider audience, second day had technical workshop character. ",1589958765
70,Suptech Workshop Prague III-IV,Congress Centre of the Czech National Bank,2020-05-25,Masaryk University,Czech National Bank,Oleg Deev,Tomáš Výrost,František Dařena,15,Robo-advisors in investment and wealth management,Neural networks in asset management and portfolio optimization,Text Mining with Machine Learning,"First day of the workshop was devoted to the overview of the modern portfolio theory accompanied by applications of advanced statistical tools to risk analysis (Case studies I, II, IV)",Second day of workshop included the discussions on applications of network analysis to improve robot advisory portfolio management followed by implementation of neural network in asset management and portfolio optimization,Third day of workshop introduced machine learning techniques for text mining application (mainly classification and clustering of text documents),"Only few firms provide robo-advisory investment solutions in the Czech Republic. Nevertheless, none of those solutions utilize advanced statistical methods or even simple portfolio optimization techniques. 
Text mining was requested as an additional topic for training by the regulator, which is evaluating the implementation of the RegTech solution for simple clarification requests (chatbot).",#NV,1590406106
71,Fintech AI and big data,"Supervisory Authority, Helsinki, Finland",2019-10-22,"Tampere University (earlier University of Tampere), Finland ",FIN-FSA,"Professor (AI) Heikki Huttunen, Tampere University, Finland ","Professor (Insurance Science) Lasse Koskinen, Tampere University, Finland ","Ph.D. Antti Talonen, Tampere University, Finland",20,Deep Neural Networks — The Backbone of AI ,Topics of Training (Use Cases,Network Models to Improve Robot Advisory Portfolio Management (Use Case),Understanding of main ideas and methods behind simple Neural Networks and Deep Neural Networks. An overview of topical applications.,Overview of use cases and their techniques. Main principles and techniques. ,Concrete understanding of Robot Advisory Portfolio Management (Use Case).  Strong and weak points – efficiency and understanding. ,"Artificial intelligence affects insurance and financial sector in really many ways – speed and video recognition and statistical modelling will be (or are) used.  
For supervisors, ethical aspects are very important with AI applications.
","Supervisors in Helsinki would like to hear more of AI (added to next meeting) and ethical aspects.  About 30 in room, about 20 followed slides + audio ",1591096288
